id,size,op,start_tick,end_tick,duration_s
0,1000,CPY,11832424,11833959,2.8425925925925925e-05
1,1000,CPY,13490712,13492225,2.801851851851852e-05
2,1000,CPY,15148699,15150222,2.8203703703703704e-05
3,1000,CPY,16806955,16808495,2.8518518518518517e-05
4,1000,CPY,18465038,18466554,2.8074074074074073e-05
5,1000,CPY,20123206,20124846,3.037037037037037e-05
6,1000,CPY,21781304,21783091,3.309259259259259e-05
7,1000,CPY,23439461,23441002,2.8537037037037037e-05
8,1000,CPY,25097486,25099049,2.8944444444444446e-05
9,1000,CPY,26755768,26757398,3.0185185185185186e-05
10,1000,CPY,28413892,28415474,2.9296296296296298e-05
11,1000,CPY,30071971,30073519,2.8666666666666668e-05
12,1000,CPY,31730144,31731703,2.887037037037037e-05
13,1000,CPY,33388227,33389801,2.9148148148148147e-05
14,1000,CPY,35046284,35047834,2.8703703703703703e-05
15,1000,CPY,36704322,36705899,2.9203703703703705e-05
16,1000,CPY,38362602,38364154,2.874074074074074e-05
17,1000,CPY,40020795,40022365,2.9074074074074074e-05
18,1000,CPY,41679086,41680693,2.9759259259259258e-05
19,1000,CPY,43337150,43338728,2.922222222222222e-05
20,1000,CPY,44995272,44996861,2.9425925925925925e-05
21,1000,CPY,46653365,46654949,2.9333333333333333e-05
22,1000,CPY,48311417,48312971,2.8777777777777776e-05
23,1000,CPY,49969640,49971192,2.874074074074074e-05
24,1000,CPY,51627739,51629314,2.9166666666666666e-05
25,1000,CPY,53285894,53287462,2.903703703703704e-05
26,1000,CPY,54943944,54945554,2.9814814814814815e-05
27,1000,CPY,56602465,56604064,2.961111111111111e-05
28,1000,CPY,58260466,58261977,2.798148148148148e-05
29,1000,CPY,59918657,59920220,2.8944444444444446e-05
30,1000,MOV,11830986,11832026,1.925925925925926e-05
31,1000,MOV,13489148,13490281,2.0981481481481483e-05
32,1000,MOV,15147285,15148310,1.8981481481481482e-05
33,1000,MOV,16805414,16806473,1.961111111111111e-05
34,1000,MOV,18463473,18464548,1.990740740740741e-05
35,1000,MOV,20121759,20122802,1.9314814814814814e-05
36,1000,MOV,21779819,21781203,2.562962962962963e-05
37,1000,MOV,23437883,23438945,1.9666666666666666e-05
38,1000,MOV,25095955,25096966,1.8722222222222223e-05
39,1000,MOV,26754128,26755255,2.087037037037037e-05
40,1000,MOV,28412275,28413365,2.0185185185185184e-05
41,1000,MOV,30070376,30071471,2.0277777777777776e-05
42,1000,MOV,31728486,31729510,1.8962962962962963e-05
43,1000,MOV,33386569,33387659,2.0185185185185184e-05
44,1000,MOV,35044796,35045845,1.9425925925925926e-05
45,1000,MOV,36702895,36703975,2e-05
46,1000,MOV,38361264,38362315,1.9462962962962965e-05
47,1000,MOV,40019258,40020334,1.9925925925925925e-05
48,1000,MOV,41677406,41678501,2.0277777777777776e-05
49,1000,MOV,43335539,43336639,2.037037037037037e-05
50,1000,MOV,44993684,44994805,2.075925925925926e-05
51,1000,MOV,46651849,46652919,1.9814814814814816e-05
52,1000,MOV,48309904,48311043,2.109259259259259e-05
53,1000,MOV,49968074,49969143,1.9796296296296297e-05
54,1000,MOV,51626249,51627311,1.9666666666666666e-05
55,1000,MOV,53284277,53285340,1.9685185185185185e-05
56,1000,MOV,54942455,54943788,2.4685185185185185e-05
57,1000,MOV,56600582,56601588,1.862962962962963e-05
58,1000,MOV,58258666,58259745,1.9981481481481482e-05
59,1000,MOV,59916725,59917811,2.011111111111111e-05
60,2000,CPY,12019356,12021457,3.890740740740741e-05
61,2000,CPY,13749415,13751307,3.5037037037037035e-05
62,2000,CPY,15479654,15481581,3.568518518518519e-05
63,2000,CPY,17209752,17211704,3.614814814814815e-05
64,2000,CPY,18939819,18941735,3.548148148148148e-05
65,2000,CPY,20669899,20671813,3.5444444444444445e-05
66,2000,CPY,22399954,22402062,3.903703703703704e-05
67,2000,CPY,24130071,24132065,3.692592592592593e-05
68,2000,CPY,25860153,25862148,3.694444444444445e-05
69,2000,CPY,27590315,27592252,3.587037037037037e-05
70,2000,CPY,29320473,29322460,3.6796296296296293e-05
71,2000,CPY,31050601,31052486,3.490740740740741e-05
72,2000,CPY,32780680,32782653,3.653703703703704e-05
73,2000,CPY,34510847,34512808,3.6314814814814814e-05
74,2000,CPY,36240899,36242807,3.5333333333333336e-05
75,2000,CPY,37970951,37972913,3.633333333333333e-05
76,2000,CPY,39701132,39703114,3.6703703703703704e-05
77,2000,CPY,41431426,41433335,3.535185185185185e-05
78,2000,CPY,43161510,43163484,3.655555555555556e-05
79,2000,CPY,44891521,44893503,3.6703703703703704e-05
80,2000,CPY,46621715,46623711,3.696296296296296e-05
81,2000,CPY,48351848,48353810,3.633333333333333e-05
82,2000,CPY,50082004,50083983,3.6648148148148146e-05
83,2000,CPY,51812191,51814117,3.566666666666667e-05
84,2000,CPY,53542399,53544361,3.633333333333333e-05
85,2000,CPY,55272473,55274393,3.555555555555555e-05
86,2000,CPY,57002634,57004513,3.47962962962963e-05
87,2000,CPY,58732981,58734873,3.5037037037037035e-05
88,2000,CPY,60462945,60464912,3.642592592592592e-05
89,2000,CPY,62193042,62194926,3.488888888888889e-05
90,2000,MOV,11783005,11784094,2.0166666666666668e-05
91,2000,MOV,13441054,13442106,1.948148148148148e-05
92,2000,MOV,15099202,15100253,1.9462962962962965e-05
93,2000,MOV,16757350,16758426,1.9925925925925925e-05
94,2000,MOV,18415421,18416463,1.9296296296296295e-05
95,2000,MOV,20073569,20074595,1.9e-05
96,2000,MOV,21731638,21733024,2.5666666666666666e-05
97,2000,MOV,23389832,23390842,1.8703703703703704e-05
98,2000,MOV,25047916,25049007,2.0203703703703703e-05
99,2000,MOV,26706061,26707113,1.948148148148148e-05
100,2000,MOV,28364199,28365284,2.009259259259259e-05
101,2000,MOV,30022297,30023396,2.0351851851851853e-05
102,2000,MOV,31680347,31681447,2.037037037037037e-05
103,2000,MOV,33338543,33339570,1.9018518518518517e-05
104,2000,MOV,34996611,34997709,2.0333333333333334e-05
105,2000,MOV,36654725,36655861,2.1037037037037037e-05
106,2000,MOV,38312963,38314029,1.974074074074074e-05
107,2000,MOV,39971126,39972253,2.087037037037037e-05
108,2000,MOV,41629293,41630329,1.9185185185185186e-05
109,2000,MOV,43287383,43288489,2.048148148148148e-05
110,2000,MOV,44945483,44946618,2.1018518518518518e-05
111,2000,MOV,46603666,46604752,2.011111111111111e-05
112,2000,MOV,48261708,48262713,1.861111111111111e-05
113,2000,MOV,49919837,49920891,1.951851851851852e-05
114,2000,MOV,51577953,51578902,1.7574074074074075e-05
115,2000,MOV,53236016,53237276,2.3333333333333332e-05
116,2000,MOV,54894121,54895252,2.0944444444444445e-05
117,2000,MOV,56552272,56553313,1.927777777777778e-05
118,2000,MOV,58210354,58211350,1.8444444444444445e-05
119,2000,MOV,59868490,59869596,2.048148148148148e-05
120,4000,CPY,11997725,12000798,5.690740740740741e-05
121,4000,CPY,13727801,13730462,4.927777777777778e-05
122,4000,CPY,15458013,15460792,5.146296296296296e-05
123,4000,CPY,17188212,17190867,4.9166666666666665e-05
124,4000,CPY,18918333,18920998,4.935185185185185e-05
125,4000,CPY,20648464,20651119,4.9166666666666665e-05
126,4000,CPY,22378633,22381541,5.385185185185185e-05
127,4000,CPY,24108826,24111541,5.027777777777778e-05
128,4000,CPY,25838920,25841743,5.227777777777778e-05
129,4000,CPY,27569004,27571754,5.092592592592592e-05
130,4000,CPY,29299205,29301862,4.92037037037037e-05
131,4000,CPY,31029312,31032051,5.0722222222222225e-05
132,4000,CPY,32759423,32762151,5.051851851851852e-05
133,4000,CPY,34489595,34492300,5.009259259259259e-05
134,4000,CPY,36219700,36222399,4.998148148148148e-05
135,4000,CPY,37949778,37952472,4.988888888888889e-05
136,4000,CPY,39679822,39682557,5.064814814814815e-05
137,4000,CPY,41410040,41412775,5.064814814814815e-05
138,4000,CPY,43140138,43142907,5.127777777777778e-05
139,4000,CPY,44870191,44872975,5.1555555555555556e-05
140,4000,CPY,46600410,46603163,5.098148148148148e-05
141,4000,CPY,48330513,48333287,5.137037037037037e-05
142,4000,CPY,50060662,50063412,5.092592592592592e-05
143,4000,CPY,51790912,51793600,4.977777777777778e-05
144,4000,CPY,53521062,53523824,5.1148148148148147e-05
145,4000,CPY,55251247,55254033,5.1592592592592594e-05
146,4000,CPY,56981385,56984017,4.874074074074074e-05
147,4000,CPY,58711821,58714530,5.016666666666667e-05
148,4000,CPY,60441810,60444672,5.3e-05
149,4000,CPY,62171954,62174662,5.014814814814815e-05
150,4000,MOV,11784520,11785581,1.9648148148148147e-05
151,4000,MOV,13442676,13443739,1.9685185185185185e-05
152,4000,MOV,15100769,15101848,1.9981481481481482e-05
153,4000,MOV,16758937,16759996,1.961111111111111e-05
154,4000,MOV,18417191,18418258,1.975925925925926e-05
155,4000,MOV,20075201,20076236,1.9166666666666667e-05
156,4000,MOV,21733390,21734802,2.614814814814815e-05
157,4000,MOV,23391571,23392632,1.9648148148148147e-05
158,4000,MOV,25049696,25050787,2.0203703703703703e-05
159,4000,MOV,26707891,26709039,2.1259259259259258e-05
160,4000,MOV,28366117,28367165,1.9407407407407407e-05
161,4000,MOV,30024205,30025300,2.0277777777777776e-05
162,4000,MOV,31682399,31683480,2.0018518518518517e-05
163,4000,MOV,33340429,33341522,2.024074074074074e-05
164,4000,MOV,34998660,34999661,1.8537037037037037e-05
165,4000,MOV,36656711,36657777,1.974074074074074e-05
166,4000,MOV,38314768,38316073,2.4166666666666667e-05
167,4000,MOV,39972883,39974003,2.074074074074074e-05
168,4000,MOV,41630960,41632029,1.9796296296296297e-05
169,4000,MOV,43289072,43290186,2.0629629629629628e-05
170,4000,MOV,44947269,44948343,1.988888888888889e-05
171,4000,MOV,46605324,46606391,1.975925925925926e-05
172,4000,MOV,48263378,48264503,2.0833333333333333e-05
173,4000,MOV,49921558,49922634,1.9925925925925925e-05
174,4000,MOV,51579596,51580701,2.0462962962962962e-05
175,4000,MOV,53237751,53238872,2.075925925925926e-05
176,4000,MOV,54895902,54897017,2.0648148148148147e-05
177,4000,MOV,56554192,56555257,1.9722222222222224e-05
178,4000,MOV,58212370,58213407,1.9203703703703702e-05
179,4000,MOV,59870564,59871634,1.9814814814814816e-05
180,8000,CPY,12000257,12004534,7.92037037037037e-05
181,8000,CPY,13730410,13734603,7.764814814814815e-05
182,8000,CPY,15460491,15465390,9.072222222222222e-05
183,8000,CPY,17190641,17194931,7.944444444444444e-05
184,8000,CPY,18920754,18925087,8.024074074074074e-05
185,8000,CPY,20650877,20655112,7.842592592592592e-05
186,8000,CPY,22381007,22385633,8.566666666666667e-05
187,8000,CPY,24111207,24115445,7.848148148148148e-05
188,8000,CPY,25841285,25845607,8.003703703703703e-05
189,8000,CPY,27571376,27575540,7.711111111111112e-05
190,8000,CPY,29301447,29305735,7.94074074074074e-05
191,8000,CPY,31031576,31035873,7.957407407407407e-05
192,8000,CPY,32761638,32765923,7.935185185185185e-05
193,8000,CPY,34491697,34496049,8.05925925925926e-05
194,8000,CPY,36221881,36226158,7.92037037037037e-05
195,8000,CPY,37952068,37956373,7.972222222222223e-05
196,8000,CPY,39682170,39686421,7.872222222222223e-05
197,8000,CPY,41412393,41416789,8.140740740740741e-05
198,8000,CPY,43142489,43146844,8.064814814814815e-05
199,8000,CPY,44872626,44876944,7.996296296296297e-05
200,8000,CPY,46602769,46607140,8.094444444444444e-05
201,8000,CPY,48332944,48337291,8.05e-05
202,8000,CPY,50063035,50067320,7.935185185185185e-05
203,8000,CPY,51793149,51797482,8.024074074074074e-05
204,8000,CPY,53523270,53527560,7.944444444444444e-05
205,8000,CPY,55253549,55257815,7.9e-05
206,8000,CPY,56983670,56988214,8.414814814814815e-05
207,8000,CPY,58713763,58718093,8.018518518518519e-05
208,8000,CPY,60444009,60448369,8.074074074074073e-05
209,8000,CPY,62174078,62178475,8.142592592592593e-05
210,8000,MOV,12028768,12029842,1.988888888888889e-05
211,8000,MOV,13758887,13759964,1.9944444444444444e-05
212,8000,MOV,15489009,15490080,1.9833333333333332e-05
213,8000,MOV,17219126,17220203,1.9944444444444444e-05
214,8000,MOV,18949228,18950286,1.9592592592592592e-05
215,8000,MOV,20679449,20680440,1.8351851851851852e-05
216,8000,MOV,22409518,22410828,2.425925925925926e-05
217,8000,MOV,24139627,24140679,1.948148148148148e-05
218,8000,MOV,25869710,25870796,2.011111111111111e-05
219,8000,MOV,27599761,27600779,1.885185185185185e-05
220,8000,MOV,29329966,29331039,1.987037037037037e-05
221,8000,MOV,31060126,31061292,2.1592592592592594e-05
222,8000,MOV,32790242,32791348,2.048148148148148e-05
223,8000,MOV,34520393,34521516,2.0796296296296298e-05
224,8000,MOV,36250568,36251656,2.014814814814815e-05
225,8000,MOV,37980632,37981714,2.0037037037037037e-05
226,8000,MOV,39711040,39712066,1.9e-05
227,8000,MOV,41441032,41442214,2.1888888888888887e-05
228,8000,MOV,43171199,43172313,2.0629629629629628e-05
229,8000,MOV,44901075,44902162,2.012962962962963e-05
230,8000,MOV,46631422,46632519,2.0314814814814815e-05
231,8000,MOV,48361486,48362563,1.9944444444444444e-05
232,8000,MOV,50091619,50092752,2.0981481481481483e-05
233,8000,MOV,51821733,51822814,2.0018518518518517e-05
234,8000,MOV,53551801,53552886,2.009259259259259e-05
235,8000,MOV,55281880,55282946,1.974074074074074e-05
236,8000,MOV,57011972,57013305,2.4685185185185185e-05
237,8000,MOV,58742135,58743282,2.1240740740740742e-05
238,8000,MOV,60472333,60473409,1.9925925925925925e-05
239,8000,MOV,62202504,62203631,2.087037037037037e-05
240,16000,CPY,11804594,11812146,0.00013985185185185186
241,16000,CPY,13462715,13470173,0.00013811111111111112
242,16000,CPY,15120898,15128435,0.00013957407407407408
243,16000,CPY,16779045,16786493,0.00013792592592592592
244,16000,CPY,18437150,18444646,0.0001388148148148148
245,16000,CPY,20095334,20102668,0.00013581481481481482
246,16000,CPY,21753386,21761210,0.0001448888888888889
247,16000,CPY,23411598,23419135,0.00013957407407407408
248,16000,CPY,25069697,25076889,0.00013318518518518519
249,16000,CPY,26727764,26734976,0.00013355555555555554
250,16000,CPY,28385839,28393105,0.00013455555555555557
251,16000,CPY,30043881,30051261,0.00013666666666666666
252,16000,CPY,31702028,31709160,0.0001320740740740741
253,16000,CPY,33360229,33367604,0.00013657407407407406
254,16000,CPY,35018316,35025664,0.00013607407407407408
255,16000,CPY,36676416,36683709,0.00013505555555555555
256,16000,CPY,38334531,38342147,0.00014103703703703704
257,16000,CPY,39992629,40000030,0.00013705555555555555
258,16000,CPY,41650638,41658104,0.00013825925925925925
259,16000,CPY,43308887,43316186,0.00013516666666666665
260,16000,CPY,44966937,44974496,0.0001399814814814815
261,16000,CPY,46625090,46632787,0.00014253703703703705
262,16000,CPY,48283255,48290802,0.00013975925925925926
263,16000,CPY,49941313,49949180,0.0001456851851851852
264,16000,CPY,51599508,51606985,0.00013846296296296295
265,16000,CPY,53257570,53265301,0.00014316666666666666
266,16000,CPY,54915707,54923353,0.0001415925925925926
267,16000,CPY,56573951,56581771,0.00014481481481481482
268,16000,CPY,58232019,58239812,0.0001443148148148148
269,16000,CPY,59890134,59897834,0.0001425925925925926
270,16000,MOV,11840208,11841274,1.974074074074074e-05
271,16000,MOV,13498253,13499366,2.0611111111111112e-05
272,16000,MOV,15156538,15157658,2.074074074074074e-05
